Date,EUR,USD
2017-01-01,4.5411000000,4.3033000000
2017-01-02,4.5411000000,4.3033000000
2017-01-03,4.5175000000,4.3408000000
2017-01-04,4.5182000000,4.3319000000
2017-01-05,4.5110000000,4.2984000000
2017-01-06,4.5069000000,4.2518000000
2017-01-07,4.5069000000,4.2518000000
2017-01-08,4.5069000000,4.2518000000
2017-01-09,4.5024000000,4.2827000000
2017-01-10,4.4971000000,4.2458000000
2017-01-11,4.4949000000,4.2725000000
2017-01-12,4.4938000000,4.2279000000
2017-01-13,4.4920000000,4.2204000000
2017-01-14,4.4920000000,4.2204000000
2017-01-15,4.4920000000,4.2204000000
2017-01-16,4.5064000000,4.2559000000
2017-01-17,4.5048000000,4.2225000000
2017-01-18,4.4980000000,4.2098000000
2017-01-19,4.4927000000,4.2161000000
2017-01-20,4.4955000000,4.2279000000
2017-01-21,4.4955000000,4.2279000000
2017-01-22,4.4955000000,4.2279000000
2017-01-23,4.4973000000,4.1880000000
2017-01-24,4.4973000000,4.1880000000
2017-01-25,4.4939000000,4.1792000000
2017-01-26,4.4983000000,4.1966000000
2017-01-27,4.5077000000,4.2189000000
2017-01-28,4.5077000000,4.2189000000
2017-01-29,4.5077000000,4.2189000000
2017-01-30,4.5006000000,4.2075000000
2017-01-31,4.5038000000,4.2072000000
2017-02-01,4.5240000000,4.1935000000
2017-02-02,4.5337000000,4.1942000000
2017-02-03,4.5156000000,4.2033000000
2017-02-04,4.5156000000,4.2033000000
2017-02-05,4.5156000000,4.2033000000
2017-02-06,4.5095000000,4.1994000000
2017-02-07,4.4916000000,4.2113000000
2017-02-08,4.4888000000,4.2168000000
2017-02-09,4.4956000000,4.2040000000
2017-02-10,4.5006000000,4.2283000000
2017-02-11,4.5006000000,4.2283000000
2017-02-12,4.5006000000,4.2283000000
2017-02-13,4.5019000000,4.2327000000
2017-02-14,4.5048000000,4.2426000000
2017-02-15,4.5071000000,4.2736000000
2017-02-16,4.5226000000,4.2544000000
2017-02-17,4.5194000000,4.2442000000
2017-02-18,4.5194000000,4.2442000000
2017-02-19,4.5194000000,4.2442000000
2017-02-20,4.5244000000,4.2591000000
2017-02-21,4.5157000000,4.2854000000
2017-02-22,4.5217000000,4.3066000000
2017-02-23,4.5190000000,4.2856000000
2017-02-24,4.5169000000,4.2669000000
2017-02-25,4.5169000000,4.2669000000
2017-02-26,4.5169000000,4.2669000000
2017-02-27,4.5115000000,4.2595000000
2017-02-28,4.5160000000,4.2610000000
2017-03-01,4.5200000000,4.2892000000
2017-03-02,4.5218000000,4.2940000000
2017-03-03,4.5328000000,4.3012000000
2017-03-04,4.5328000000,4.3012000000
2017-03-05,4.5328000000,4.3012000000
2017-03-06,4.5323000000,4.2804000000
2017-03-07,4.5362000000,4.2906000000
2017-03-08,4.5512000000,4.3105000000
2017-03-09,4.5456000000,4.3037000000
2017-03-10,4.5505000000,4.2885000000
2017-03-11,4.5505000000,4.2885000000
2017-03-12,4.5505000000,4.2885000000
2017-03-13,4.5538000000,4.2673000000
2017-03-14,4.5515000000,4.2783000000
2017-03-15,4.5429000000,4.2781000000
2017-03-16,4.5509000000,4.2454000000
2017-03-17,4.5654000000,4.2396000000
2017-03-18,4.5654000000,4.2396000000
2017-03-19,4.5654000000,4.2396000000
2017-03-20,4.5627000000,4.2418000000
2017-03-21,4.5634000000,4.2254000000
2017-03-22,4.5631000000,4.2286000000
2017-03-23,4.5555000000,4.2229000000
2017-03-24,4.5552000000,4.2149000000
2017-03-25,4.5552000000,4.2149000000
2017-03-26,4.5552000000,4.2149000000
2017-03-27,4.5500000000,4.1870000000
2017-03-28,4.5514000000,4.1912000000
2017-03-29,4.5575000000,4.2232000000
2017-03-30,4.5446000000,4.2325000000
2017-03-31,4.5511000000,4.2615000000
2017-04-01,4.5511000000,4.2615000000
2017-04-02,4.5511000000,4.2615000000
2017-04-03,4.5501000000,4.2668000000
2017-04-04,4.5452000000,4.2666000000
2017-04-05,4.5416000000,4.2582000000
2017-04-06,4.5262000000,4.2430000000
2017-04-07,4.5241000000,4.2530000000
2017-04-08,4.5241000000,4.2530000000
2017-04-09,4.5241000000,4.2530000000
2017-04-10,4.5152000000,4.2677000000
2017-04-11,4.5133000000,4.2548000000
2017-04-12,4.5219000000,4.2611000000
2017-04-13,4.5182000000,4.2454000000
2017-04-14,4.5231000000,4.2576000000
2017-04-15,4.5231000000,4.2576000000
2017-04-16,4.5231000000,4.2576000000
2017-04-17,4.5231000000,4.2576000000
2017-04-18,4.5188000000,4.2404000000
2017-04-19,4.5286000000,4.2246000000
2017-04-20,4.5407000000,4.2178000000
2017-04-21,4.5441000000,4.2456000000
2017-04-22,4.5441000000,4.2456000000
2017-04-23,4.5441000000,4.2456000000
2017-04-24,4.5340000000,4.1702000000
2017-04-25,4.5250000000,4.1556000000
2017-04-26,4.5355000000,4.1620000000
2017-04-27,4.5289000000,4.1565000000
2017-04-28,4.5333000000,4.1453000000
2017-04-29,4.5333000000,4.1453000000
2017-04-30,4.5333000000,4.1453000000
2017-05-01,4.5333000000,4.1453000000
2017-05-02,4.5468000000,4.1641000000
2017-05-03,4.5485000000,4.1691000000
2017-05-04,4.5448000000,4.1581000000
2017-05-05,4.5467000000,4.1479000000
2017-05-06,4.5467000000,4.1479000000
2017-05-07,4.5467000000,4.1479000000
2017-05-08,4.5467000000,4.1576000000
2017-05-09,4.5507000000,4.1740000000
2017-05-10,4.5481000000,4.1876000000
2017-05-11,4.5505000000,4.1865000000
2017-05-12,4.5443000000,4.1800000000
2017-05-13,4.5443000000,4.1800000000
2017-05-14,4.5443000000,4.1800000000
2017-05-15,4.5499000000,4.1521000000
2017-05-16,4.5476000000,4.1170000000
2017-05-17,4.5539000000,4.1039000000
2017-05-18,4.5729000000,4.1140000000
2017-05-19,4.5616000000,4.0858000000
2017-05-20,4.5616000000,4.0858000000
2017-05-21,4.5616000000,4.0858000000
2017-05-22,4.5600000000,4.0774000000
2017-05-23,4.5583000000,4.0489000000
2017-05-24,4.5512000000,4.0714000000
2017-05-25,4.5496000000,4.0533000000
2017-05-26,4.5573000000,4.0641000000
2017-05-27,4.5573000000,4.0641000000
2017-05-28,4.5573000000,4.0641000000
2017-05-29,4.5637000000,4.0822000000
2017-05-30,4.5636000000,4.0900000000
2017-05-31,4.5702000000,4.0844000000
2017-06-01,4.5702000000,4.0844000000
2017-06-02,4.5659000000,4.0691000000
2017-06-03,4.5659000000,4.0691000000
2017-06-04,4.5659000000,4.0691000000
2017-06-05,4.5659000000,4.0691000000
2017-06-06,4.5655000000,4.0591000000
2017-06-07,4.5675000000,4.0528000000
2017-06-08,4.5698000000,4.0660000000
2017-06-09,4.5611000000,4.0795000000
2017-06-10,4.5611000000,4.0795000000
2017-06-11,4.5611000000,4.0795000000
2017-06-12,4.5614000000,4.0654000000
2017-06-13,4.5661000000,4.0743000000
2017-06-14,4.5667000000,4.0752000000
2017-06-15,4.5872000000,4.1082000000
2017-06-16,4.5812000000,4.0999000000
2017-06-17,4.5812000000,4.0999000000
2017-06-18,4.5812000000,4.0999000000
2017-06-19,4.5859000000,4.0984000000
2017-06-20,4.5957000000,4.1189000000
2017-06-21,4.5987000000,4.1287000000
2017-06-22,4.5915000000,4.1096000000
2017-06-23,4.5673000000,4.0905000000
2017-06-24,4.5673000000,4.0905000000
2017-06-25,4.5673000000,4.0905000000
2017-06-26,4.5733000000,4.0906000000
2017-06-27,4.5630000000,4.0522000000
2017-06-28,4.5563000000,4.0114000000
2017-06-29,4.5503000000,3.9857000000
2017-06-30,4.5539000000,3.9915000000
2017-07-01,4.5539000000,3.9915000000
2017-07-02,4.5539000000,3.9915000000
2017-07-03,4.5560000000,4.0049000000
2017-07-04,4.5788000000,4.0361000000
2017-07-05,4.5868000000,4.0512000000
2017-07-06,4.5869000000,4.0365000000
2017-07-07,4.5870000000,4.0170000000
2017-07-08,4.5870000000,4.0170000000
2017-07-09,4.5870000000,4.0170000000
2017-07-10,4.5684000000,4.0107000000
2017-07-11,4.5680000000,4.0093000000
2017-07-12,4.5718000000,3.9925000000
2017-07-13,4.5625000000,4.0069000000
2017-07-14,4.5645000000,3.9992000000
2017-07-15,4.5645000000,3.9992000000
2017-07-16,4.5645000000,3.9992000000
2017-07-17,4.5619000000,3.9816000000
2017-07-18,4.5595000000,3.9476000000
2017-07-19,4.5680000000,3.9617000000
2017-07-20,4.5654000000,3.9685000000
2017-07-21,4.5737000000,3.9269000000
2017-07-22,4.5737000000,3.9269000000
2017-07-23,4.5737000000,3.9269000000
2017-07-24,4.5656000000,3.9166000000
2017-07-25,4.5617000000,3.9136000000
2017-07-26,4.5628000000,3.9248000000
2017-07-27,4.5656000000,3.8936000000
2017-07-28,4.5558000000,3.8912000000
2017-07-29,4.5558000000,3.8912000000
2017-07-30,4.5558000000,3.8912000000
2017-07-31,4.5598000000,3.8873000000
2017-08-01,4.5577000000,3.8569000000
2017-08-02,4.5586000000,3.8492000000
2017-08-03,4.5632000000,3.8524000000
2017-08-04,4.5634000000,3.8417000000
2017-08-05,4.5634000000,3.8417000000
2017-08-06,4.5634000000,3.8417000000
2017-08-07,4.5657000000,3.8702000000
2017-08-08,4.5635000000,3.8643000000
2017-08-09,4.5687000000,3.8909000000
2017-08-10,4.5750000000,3.9057000000
2017-08-11,4.5780000000,3.8950000000
2017-08-12,4.5780000000,3.8950000000
2017-08-13,4.5780000000,3.8950000000
2017-08-14,4.5710000000,3.8741000000
2017-08-15,4.5710000000,3.8741000000
2017-08-16,4.5737000000,3.8993000000
2017-08-17,4.5816000000,3.9104000000
2017-08-18,4.5883000000,3.9066000000
2017-08-19,4.5883000000,3.9066000000
2017-08-20,4.5883000000,3.9066000000
2017-08-21,4.5881000000,3.9079000000
2017-08-22,4.5867000000,3.9006000000
2017-08-23,4.5873000000,3.8951000000
2017-08-24,4.5886000000,3.8923000000
2017-08-25,4.5869000000,3.8870000000
2017-08-26,4.5869000000,3.8870000000
2017-08-27,4.5869000000,3.8870000000
2017-08-28,4.5958000000,3.8513000000
2017-08-29,4.5985000000,3.8198000000
2017-08-30,4.5943000000,3.8446000000
2017-08-31,4.5906000000,3.8654000000
2017-09-01,4.5945000000,3.8630000000
2017-09-02,4.5945000000,3.8630000000
2017-09-03,4.5945000000,3.8630000000
2017-09-04,4.5949000000,3.8558000000
2017-09-05,4.5959000000,3.8697000000
2017-09-06,4.5985000000,3.8536000000
2017-09-07,4.5980000000,3.8381000000
2017-09-08,4.5983000000,3.8116000000
2017-09-09,4.5983000000,3.8116000000
2017-09-10,4.5983000000,3.8116000000
2017-09-11,4.5978000000,3.8280000000
2017-09-12,4.5983000000,3.8455000000
2017-09-13,4.5986000000,3.8421000000
2017-09-14,4.5984000000,3.8657000000
2017-09-15,4.5980000000,3.8516000000
2017-09-16,4.5980000000,3.8516000000
2017-09-17,4.5980000000,3.8516000000
2017-09-18,4.5982000000,3.8492000000
2017-09-19,4.5990000000,3.8373000000
2017-09-20,4.5989000000,3.8275000000
2017-09-21,4.5987000000,3.8593000000
2017-09-22,4.5950000000,3.8316000000
2017-09-23,4.5950000000,3.8316000000
2017-09-24,4.5950000000,3.8316000000
2017-09-25,4.5965000000,3.8670000000
2017-09-26,4.5990000000,3.8912000000
2017-09-27,4.5991000000,3.9171000000
2017-09-28,4.5990000000,3.9069000000
2017-09-29,4.5991000000,3.8977000000
2017-09-30,4.5991000000,3.8977000000
2017-10-01,4.5991000000,3.8977000000
2017-10-02,4.5871000000,3.9086000000
2017-10-03,4.5860000000,3.9050000000
2017-10-04,4.5772000000,3.8928000000
2017-10-05,4.5782000000,3.8904000000
2017-10-06,4.5775000000,3.9107000000
2017-10-07,4.5775000000,3.9107000000
2017-10-08,4.5775000000,3.9107000000
2017-10-09,4.5780000000,3.8990000000
2017-10-10,4.5729000000,3.8803000000
2017-10-11,4.5854000000,3.8831000000
2017-10-12,4.5915000000,3.8732000000
2017-10-13,4.5889000000,3.8800000000
2017-10-14,4.5889000000,3.8800000000
2017-10-15,4.5889000000,3.8800000000
2017-10-16,4.5854000000,3.8887000000
2017-10-17,4.5802000000,3.8939000000
2017-10-18,4.5841000000,3.9032000000
2017-10-19,4.5921000000,3.8901000000
2017-10-20,4.5975000000,3.8945000000
2017-10-21,4.5975000000,3.8945000000
2017-10-22,4.5975000000,3.8945000000
2017-10-23,4.5988000000,3.9154000000
2017-10-24,4.5978000000,3.9105000000
2017-10-25,4.5976000000,3.9072000000
2017-10-26,4.5975000000,3.8935000000
2017-10-27,4.5980000000,3.9531000000
2017-10-28,4.5980000000,3.9531000000
2017-10-29,4.5980000000,3.9531000000
2017-10-30,4.5974000000,3.9512000000
2017-10-31,4.5985000000,3.9533000000
2017-11-01,4.5984000000,3.9512000000
2017-11-02,4.5981000000,3.9479000000
2017-11-03,4.5942000000,3.9454000000
2017-11-04,4.5942000000,3.9454000000
2017-11-05,4.5942000000,3.9454000000
2017-11-06,4.5920000000,3.9564000000
2017-11-07,4.5968000000,3.9746000000
2017-11-08,4.6198000000,3.9810000000
2017-11-09,4.6279000000,3.9865000000
2017-11-10,4.6390000000,3.9803000000
2017-11-11,4.6390000000,3.9803000000
2017-11-12,4.6390000000,3.9803000000
2017-11-13,4.6495000000,3.9913000000
2017-11-14,4.6482000000,3.9671000000
2017-11-15,4.6306000000,3.9108000000
2017-11-16,4.6387000000,3.9394000000
2017-11-17,4.6400000000,3.9322000000
2017-11-18,4.6400000000,3.9322000000
2017-11-19,4.6400000000,3.9322000000
2017-11-20,4.6469000000,3.9414000000
2017-11-21,4.6551000000,3.9650000000
2017-11-22,4.6497000000,3.9565000000
2017-11-23,4.6546000000,3.9306000000
2017-11-24,4.6536000000,3.9215000000
2017-11-25,4.6536000000,3.9215000000
2017-11-26,4.6536000000,3.9215000000
2017-11-27,4.6431000000,3.8897000000
2017-11-28,4.6416000000,3.9066000000
2017-11-29,4.6422000000,3.9188000000
2017-11-30,4.6422000000,3.9188000000
2017-12-01,4.6422000000,3.9188000000
2017-12-02,4.6422000000,3.9188000000
2017-12-03,4.6422000000,3.9188000000
2017-12-04,4.6334000000,3.9110000000
2017-12-05,4.6344000000,3.9053000000
2017-12-06,4.6321000000,3.9175000000
2017-12-07,4.6327000000,3.9327000000
2017-12-08,4.6315000000,3.9449000000
2017-12-09,4.6315000000,3.9449000000
2017-12-10,4.6315000000,3.9449000000
2017-12-11,4.6332000000,3.9274000000
2017-12-12,4.6362000000,3.9368000000
2017-12-13,4.6327000000,3.9431000000
2017-12-14,4.6332000000,3.9185000000
2017-12-15,4.6346000000,3.9285000000
2017-12-16,4.6346000000,3.9285000000
2017-12-17,4.6346000000,3.9285000000
2017-12-18,4.6260000000,3.9243000000
2017-12-19,4.6210000000,3.9130000000
2017-12-20,4.6276000000,3.9066000000
2017-12-21,4.6363000000,3.9051000000
2017-12-22,4.6401000000,3.9155000000
2017-12-23,4.6401000000,3.9155000000
2017-12-24,4.6401000000,3.9155000000
2017-12-25,4.6401000000,3.9155000000
2017-12-26,4.6401000000,3.9155000000
2017-12-27,4.6515000000,3.9133000000
2017-12-28,4.6507000000,3.8995000000
2017-12-29,4.6597000000,3.8915000000
2018-01-01,4.6597000000,3.8915000000
2018-01-02,4.6597000000,3.8915000000
2018-01-03,4.6412000000,3.8603000000
2018-01-04,4.6304000000,3.8425000000
2018-01-05,4.6365000000,3.8484000000
2018-01-06,4.6365000000,3.8484000000
2018-01-07,4.6365000000,3.8484000000
2018-01-08,4.6348000000,3.8598000000
2018-01-09,4.6571000000,3.9039000000
2018-01-10,4.6434000000,3.8700000000
2018-01-11,4.6374000000,3.8821000000
2018-01-12,4.6377000000,3.8247000000
2018-01-13,4.6377000000,3.8247000000
2018-01-14,4.6377000000,3.8247000000
2018-01-15,4.6256000000,3.7686000000
2018-01-16,4.6599000000,3.8182000000
2018-01-17,4.6573000000,3.8067000000
2018-01-18,4.6514000000,3.8054000000
2018-01-19,4.6614000000,3.7984000000
2018-01-20,4.6614000000,3.7984000000
2018-01-21,4.6614000000,3.7984000000
2018-01-22,4.6656000000,3.8059000000
2018-01-23,4.6679000000,3.8116000000
2018-01-24,4.6679000000,3.8116000000
2018-01-25,4.6665000000,3.7595000000
2018-01-26,4.6658000000,3.7436000000
2018-01-27,4.6658000000,3.7436000000
2018-01-28,4.6658000000,3.7436000000
2018-01-29,4.6540000000,3.7472000000
2018-01-30,4.6474000000,3.7416000000
2018-01-31,4.6582000000,3.7442000000
2018-02-01,4.6551000000,3.7443000000
2018-02-02,4.6526000000,3.7266000000
2018-02-03,4.6526000000,3.7266000000
2018-02-04,4.6526000000,3.7266000000
2018-02-05,4.6347000000,3.7170000000
2018-02-06,4.6423000000,3.7433000000
2018-02-07,4.6538000000,3.7705000000
2018-02-08,4.6533000000,3.8025000000
2018-02-09,4.6561000000,3.7984000000
2018-02-10,4.6561000000,3.7984000000
2018-02-11,4.6561000000,3.7984000000
2018-02-12,4.6534000000,3.7919000000
2018-02-13,4.6572000000,3.7738000000
2018-02-14,4.6588000000,3.7711000000
2018-02-15,4.6598000000,3.7337000000
2018-02-16,4.6595000000,3.7306000000
2018-02-17,4.6595000000,3.7306000000
2018-02-18,4.6595000000,3.7306000000
2018-02-19,4.6609000000,3.7530000000
2018-02-20,4.6623000000,3.7780000000
2018-02-21,4.6606000000,3.7828000000
2018-02-22,4.6539000000,3.7867000000
2018-02-23,4.6552000000,3.7813000000
2018-02-24,4.6552000000,3.7813000000
2018-02-25,4.6552000000,3.7813000000
2018-02-26,4.6613000000,3.7733000000
2018-02-27,4.6564000000,3.7782000000
2018-02-28,4.6625000000,3.8133000000
2018-03-01,4.6581000000,3.8209000000
2018-03-02,4.6590000000,3.7917000000
2018-03-03,4.6590000000,3.7917000000
2018-03-04,4.6590000000,3.7917000000
2018-03-05,4.6598000000,3.7829000000
2018-03-06,4.6596000000,3.7745000000
2018-03-07,4.6597000000,3.7463000000
2018-03-08,4.6592000000,3.7635000000
2018-03-09,4.6570000000,3.7865000000
2018-03-10,4.6570000000,3.7865000000
2018-03-11,4.6570000000,3.7865000000
2018-03-12,4.6616000000,3.7864000000
2018-03-13,4.6607000000,3.7771000000
2018-03-14,4.6622000000,3.7691000000
2018-03-15,4.6620000000,3.7715000000
2018-03-16,4.6646000000,3.7833000000
2018-03-17,4.6646000000,3.7833000000
2018-03-18,4.6646000000,3.7833000000
2018-03-19,4.6650000000,3.7930000000
2018-03-20,4.6655000000,3.7891000000
2018-03-21,4.6651000000,3.8002000000
2018-03-22,4.6659000000,3.7891000000
2018-03-23,4.6651000000,3.7841000000
2018-03-24,4.6651000000,3.7841000000
2018-03-25,4.6651000000,3.7841000000
2018-03-26,4.6594000000,3.7533000000
2018-03-27,4.6502000000,3.7453000000
2018-03-28,4.6557000000,3.7576000000
2018-03-29,4.6569000000,3.7819000000
2018-03-30,4.6576000000,3.7779000000
2018-03-31,4.6576000000,3.7779000000
2018-04-01,4.6576000000,3.7779000000
2018-04-02,4.6548000000,3.7746000000
2018-04-03,4.6585000000,3.7842000000
2018-04-04,4.6598000000,3.7909000000
2018-04-05,4.6615000000,3.7965000000
2018-04-06,4.6615000000,3.7965000000
2018-04-07,4.6615000000,3.7965000000
2018-04-08,4.6615000000,3.7965000000
2018-04-09,4.6615000000,3.7965000000
2018-04-10,4.6605000000,3.7824000000
2018-04-11,4.6600000000,3.7657000000
2018-04-12,4.6617000000,3.7766000000
2018-04-13,4.6611000000,3.7778000000
2018-04-14,4.6611000000,3.7778000000
2018-04-15,4.6611000000,3.7778000000
2018-04-16,4.6507000000,3.7600000000
2018-04-17,4.6485000000,3.7588000000
2018-04-18,4.6530000000,3.7620000000
2018-04-19,4.6579000000,3.7656000000
2018-04-20,4.6606000000,3.7886000000
2018-04-21,4.6606000000,3.7886000000
2018-04-22,4.6606000000,3.7886000000
2018-04-23,4.6563000000,3.8076000000
2018-04-24,4.6516000000,3.8120000000
2018-04-25,4.6474000000,3.8065000000
2018-04-26,4.6490000000,3.8160000000
2018-04-27,4.6618000000,3.8596000000
2018-04-28,4.6618000000,3.8596000000
2018-04-29,4.6618000000,3.8596000000
2018-04-30,4.6589000000,3.8479000000
2018-05-01,4.6589000000,3.8479000000
2018-05-02,4.6630000000,3.8839000000
2018-05-03,4.6618000000,3.8861000000
2018-05-04,4.6569000000,3.8936000000
2018-05-05,4.6569000000,3.8936000000
2018-05-06,4.6569000000,3.8936000000
2018-05-07,4.6542000000,3.9026000000
2018-05-08,4.6496000000,3.9148000000
2018-05-09,4.6454000000,3.9170000000
2018-05-10,4.6397000000,3.9065000000
2018-05-11,4.6348000000,3.8843000000
2018-05-12,4.6348000000,3.8843000000
2018-05-13,4.6348000000,3.8843000000
2018-05-14,4.6289000000,3.8640000000
2018-05-15,4.6283000000,3.8797000000
2018-05-16,4.6338000000,3.9251000000
2018-05-17,4.6296000000,3.9229000000
2018-05-18,4.6303000000,3.9308000000
2018-05-19,4.6303000000,3.9308000000
2018-05-20,4.6303000000,3.9308000000
2018-05-21,4.6228000000,3.9370000000
2018-05-22,4.6225000000,3.9099000000
2018-05-23,4.6292000000,3.9502000000
2018-05-24,4.6243000000,3.9431000000
2018-05-25,4.6288000000,3.9524000000
2018-05-26,4.6288000000,3.9524000000
2018-05-27,4.6288000000,3.9524000000
2018-05-28,4.6288000000,3.9524000000
2018-05-29,4.6397000000,4.0284000000
2018-05-30,4.6399000000,3.9958000000
2018-05-31,4.6485000000,3.9734000000
2018-06-01,4.6485000000,3.9734000000
2018-06-02,4.6485000000,3.9734000000
2018-06-03,4.6485000000,3.9734000000
2018-06-04,4.6566000000,3.9713000000
2018-06-05,4.6531000000,3.9770000000
2018-06-06,4.6513000000,3.9535000000
2018-06-07,4.6564000000,3.9379000000
2018-06-08,4.6582000000,3.9589000000
2018-06-09,4.6582000000,3.9589000000
